name,trace,lat,lng,country_id
Ordino,Ordino,42.5563,1.5327,20
Canillo,Canillo,42.567,1.5981,20
Encamp,Encamp,42.5361,1.5828,20
Sant Julià de Lòria,Sant Julia de Loria,42.4664,1.4933,20
Les Escaldes,Les Escaldes,42.5085,1.5385,20
Andorra,Andorra,42.5,1.5165,20
La Massana,La Massana,42.5434,1.5148,20
Dubai,Dubai,25.23,55.28,784
Umm al Qaywayn,Umm al Qaywayn,25.5653,55.5533,784
Abu Dhabi,Abu Dhabi,24.4667,54.3666,784
‘Ajmān,`Ajman,25.4056,55.4618,784
Ras al Khaymah,Ras al Khaymah,25.7915,55.9428,784
Al Ayn,Al Ayn,24.2305,55.74,784
Al Fujayrah,Al Fujayrah,25.1234,56.3375,784
Sharjah,Sharjah,25.3714,55.4065,784
Kabul,Kabul,34.5167,69.1833,4
Lashkar Gah,Lashkar Gah,31.583,64.36,4
Kandahar,Kandahar,31.61,65.6949,4
Sharan,Sharan,33.1757,68.7304,4
Herat,Herat,34.33,62.17,4
Ghazni,Ghazni,33.5633,68.4178,4
Maīdān Shahr,Maidan Shahr,34.3956,68.8662,4
Andkhvoy,Andkhvoy,36.9317,65.1015,4
Pol-e Khomri,Pol-e Khomri,35.9511,68.7011,4
Mazar-e Sharif,Mazar-e Sharif,36.7,67.1,4
Sar-e Pul,Sar-e Pul,36.2154,65.9325,4
Meymaneh,Meymaneh,35.9302,64.7701,4
Gardiz,Gardiz,33.6001,69.2146,4
Zaranj,Zaranj,31.112,61.887,4
Jalalabad,Jalalabad,34.4415,70.4361,4
Zareh Sharan,Zareh Sharan,32.85,68.4167,4
Tarin Kowt,Tarin Kowt,32.6333,65.8667,4
Aybak,Aybak,36.261,68.04,4
Sheberghan,Sheberghan,36.658,65.7383,4
Khōst,Khost,33.3395,69.9204,4
Farah,Farah,32.3917,62.0968,4
Mahmud-E Eraqi,Mahmud-E Eraqi,35.0167,69.3333,4
Qala i Naw,Qala i Naw,34.983,63.1333,4
Feyzabad,Feyzabad,37.1298,70.5792,4
Charikar,Charikar,35.0183,69.1679,4
Nīlī,Nili,33.7218,66.1302,4
Asadabad,Asadabad,34.866,71.15,4
Kondoz,Kondoz,36.728,68.8725,4
Qalat,Qalat,32.1123,66.8868,4
Taloqan,Taloqan,36.73,69.54,4
Mayda Shahr,Mayda Shahr,34.45,68.8,4
Balkh,Balkh,36.7501,66.8997,4
Baghlan,Baghlan,36.1393,68.6993,4
Bamian,Bamian,34.8211,67.521,4
Karokh,Karokh,34.4868,62.5918,4
Baraki Barak,Baraki Barak,33.9667,68.9667,4
Pul-e ‘Alam,Pul-e `Alam,33.9953,69.0227,4
Pārūn,Parun,35.4206,70.9226,4
Chaghcharan,Chaghcharan,34.5167,65.25,4
Bāzārak,Bazarak,35.3129,69.5152,4
Mehtar Lam,Mehtar Lam,34.65,70.1667,4
Saint John's,Saint John's,17.118,-61.85,28
The Valley,The Valley,18.2167,-63.05,660
Korçë,Korce,40.6167,20.7667,8
Librazhd,Librazhd,41.2,20.3667,8
Berat,Berat,40.71,19.972,8
Krujë,Kruje,41.519,19.797,8
Tepelenë,Tepelene,40.2833,20.0333,8
Rrëshen,Rreshen,41.7833,19.8167,8
Pukë,Puke,42.0333,19.8833,8
Shkodër,Shkoder,42.0685,19.5188,8
Lushnjë,Lushnje,40.94,19.716,8
Ersekë,Erseke,40.3333,20.6833,8
Çorovodë,Corovode,40.5167,20.2333,8
Durrës,Durres,41.3178,19.4482,8
Burrel,Burrel,41.626,20.016,8
Kukës,Kukes,42.083,20.434,8
Gjirokastër,Gjirokaster,40.079,20.149,8
Lezhë,Lezhe,41.788,19.654,8
Sarandë,Sarande,39.877,20,8
Përmet,Permet,40.234,20.352,8
Pogradec,Pogradec,40.9,20.664,8
Vlorë,Vlore,40.4774,19.4982,8
Elbasan,Elbasan,41.1215,20.0838,8
Peshkopi,Peshkopi,41.6833,20.4333,8
Fier,Fier,40.73,19.573,8
Bajram Curri,Bajram Curri,42.3333,20.0833,8
Tirana,Tirana,41.3275,19.8189,8
Gramsh,Gramsh,40.8667,20.2,8
Gyumri,Gyumri,40.7894,43.8475,51
Gavarr,Gavarr,40.3589,45.1267,51
Artashat,Artashat,39.9539,44.5506,51
Armavir,Armavir,40.1545,44.0382,51
Ijevan,Ijevan,40.8788,45.1485,51
Hrazdan,Hrazdan,40.4941,44.7602,51
Vanadzor,Vanadzor,40.8128,44.4883,51
Ashtarak,Ashtarak,40.3017,44.3592,51
Kapan,Kapan,39.2075,46.4058,51
Ijevan,Ijevan,40.8756,45.1492,51
Yerevan,Yerevan,40.1812,44.5136,51
Yeghegnadzor,Yeghegnadzor,39.7611,45.3333,51
Luiana,Luiana,-17.3695,23,24
Benguela,Benguela,-12.5783,13.4072,24
Cangamba,Cangamba,-13.6996,19.86,24
Cabinda,Cabinda,-5.5596,12.19,24
Lubango,Lubango,-14.9167,13.5,24
Huambo,Huambo,-12.75,15.76,24
Chitado,Chitado,-17.3196,13.92,24
Luena,Luena,-11.79,19.9,24
Mucusso,Mucusso,-18.0195,21.43,24
Ndalatando,Ndalatando,-9.2995,14.91,24
Ondjiva,Ondjiva,-17.0696,15.73,24
Mbanza-Congo,Mbanza-Congo,-6.2696,14.24,24
Mavinga,Mavinga,-15.7895,20.36,24
Capenda-Camulemba,Capenda-Camulemba,-9.4196,18.43,24
Calulo,Calulo,-9.9996,14.9,24
Calucinga,Calucinga,-11.3196,16.2,24
Xangongo,Xangongo,-16.74,14.97,24
Songo,Songo,-7.3496,14.85,24
Camabatela,Camabatela,-8.1896,15.37,24
Cacolo,Cacolo,-10.1496,19.26,24
Ambriz,Ambriz,-7.855,13.125,24
Dondo,Dondo,-9.69,14.43,24
Saurimo,Saurimo,-9.6596,20.39,24
Luanda,Luanda,-8.8383,13.2344,24
Waku Kungo,Waku Kungo,-11.3595,15.12,24
Nzeto,Nzeto,-7.2296,12.86,24
Quipungo,Quipungo,-14.8295,14.55,24
Uíge,Uige,-7.62,15.05,24
Quibala,Quibala,-10.7296,14.98,24
Menongue,Menongue,-14.6666,17.7,24
Sumbe,Sumbe,-11.21,13.85,24
Luau,Luau,-10.7095,22.23,24
Caxito,Caxito,-8.5795,13.66,24
Cazombo,Cazombo,-11.8896,22.9,24
Malanje,Malanje,-9.54,16.34,24
Lobito,Lobito,-12.37,13.5412,24
Soyo,Soyo,-6.1296,12.37,24
Kuito,Kuito,-12.38,16.94,24
Cuito Caunavale,Cuito Caunavale,-15.1596,19.17,24
Chibemba,Chibemba,-15.7496,14.08,24
Chibia,Chibia,-15.1896,13.69,24
Camacupa,Camacupa,-12.0196,17.47,24
Cubal,Cubal,-13.0396,14.24,24
Namibe,Namibe,-15.19,12.16,24
Tômbua,Tombua,-15.8,11.86,24
Lucapa,Lucapa,-8.4196,20.74,24
Dundo,Dundo,-7.38,20.83,24
Lubango,Lubango,-14.91,13.49,24
Muconda,Muconda,-10.5996,21.32,24
San Juan,San Juan,-31.55,-68.52,32
Ushuaia,Ushuaia,-54.79,-68.31,32
Santa Rosa,Santa Rosa,-36.62,-64.3,32
Los Blancos,Los Blancos,-23.5996,-62.6,32
General Roca,General Roca,-39.02,-67.61,32
Río Gallegos,Rio Gallegos,-51.6333,-69.2166,32
Santa Fe,Santa Fe,-31.6239,-60.69,32
28 de Noviembre,28 de Noviembre,-51.65,-72.3,32
San Lorenzo,San Lorenzo,-28.12,-58.77,32
Salta,Salta,-24.7834,-65.4166,32
Darregueira,Darregueira,-37.6996,-63.1666,32
Trelew,Trelew,-43.25,-65.33,32
Rawson,Rawson,-43.3,-65.1,32
La Rioja,La Rioja,-29.41,-66.85,32
Villalonga,Villalonga,-39.8829,-62.5833,32
Viedma,Viedma,-40.8,-63,32
Sunchales,Sunchales,-30.9329,-61.5666,32
Comondante Luis Piedrabuena,Comondante Luis Piedrabuena,-49.9745,-68.9035,32
Pedro Luro,Pedro Luro,-39.4833,-62.6833,32
San Salvador de Jujuy,San Salvador de Jujuy,-24.1833,-65.3,32
Resistencia,Resistencia,-27.46,-58.99,32
Posadas,Posadas,-27.3578,-55.8851,32
Paso Rio Mayo,Paso Rio Mayo,-45.6834,-70.2666,32
Venado Tuerto,Venado Tuerto,-33.7496,-61.97,32
Corrientes,Corrientes,-27.49,-58.81,32
Formosa,Formosa,-26.1728,-58.1828,32
Las Lomitas,Las Lomitas,-24.6996,-60.6,32
La Plata,La Plata,-34.9096,-57.96,32
Mar de Ajó,Mar de Ajo,-36.7162,-56.6766,32
Cutral Có,Cutral Co,-38.94,-69.24,32
Ingeniero Jacobacci,Ingeniero Jacobacci,-41.3,-69.5833,32
Santiago del Estero,Santiago del Estero,-27.7833,-64.2667,32
Uspallata,Uspallata,-32.5931,-69.346,32
Tucumán,Tucuman,-26.816,-65.2166,32
Comallo,Comallo,-41.0333,-70.2666,32
El Maitén,El Maiten,-42.05,-71.1666,32
Mendoza,Mendoza,-32.8833,-68.8166,32
Neuquén,Neuquen,-38.95,-68.06,32
Córdoba,Cordoba,-31.4,-64.1823,32
Catamarca,Catamarca,-28.47,-65.78,32
Villa Rumipal,Villa Rumipal,-32.1833,-64.4833,32
San Luis,San Luis,-33.3,-66.35,32
Río Tercero,Rio Tercero,-32.1796,-64.12,32
Malargüe,Malargue,-35.4661,-69.5833,32
Tinogasta,Tinogasta,-28.0666,-67.5666,32
Rinconada,Rinconada,-22.4329,-66.1666,32
Abra Pampa,Abra Pampa,-22.7167,-65.7,32
Humahuaca,Humahuaca,-23.2,-65.3499,32
Libertador General San Martín,Libertador General San Martin,-23.8195,-64.79,32
San Pedro,San Pedro,-24.2196,-64.87,32
Susques,Susques,-23.4167,-66.4833,32
Choele Choel,Choele Choel,-39.2666,-65.6833,32
General Conesa,General Conesa,-40.1,-64.4333,32
San Antonio Oeste,San Antonio Oeste,-40.7329,-64.9333,32
Sierra Colorado,Sierra Colorado,-40.5829,-67.8,32
San Carlos de Bariloche,San Carlos de Bariloche,-41.15,-71.3,32
Puerto Madryn,Puerto Madryn,-42.77,-65.04,32
Río Colorado,Rio Colorado,-38.9666,-64.0833,32
Sarmiento,Sarmiento,-45.6,-69.0833,32
Alto Rio Sanguer,Alto Rio Sanguer,-45.0333,-70.8333,32
Gastre,Gastre,-42.283,-69.2333,32
Pampa del Infierno,Pampa del Infierno,-26.5166,-61.1666,32
Charata,Charata,-27.2163,-61.2,32
Presidencia Roque Saenz Pena,Presidencia Roque Saenz Pena,-26.79,-60.45,32
Rodeo,Rodeo,-30.2156,-69.14,32
Mercedes,Mercedes,-33.6896,-65.47,32
Villa María,Villa Maria,-32.41,-63.26,32
Las Heras,Las Heras,-32.825,-68.8017,32
Chilecito,Chilecito,-29.1655,-67.5,32
Ingeniero Guillermo N. Juarez,Ingeniero Guillermo N. Juarez,-23.9,-61.85,32
Comandante Fontana,Comandante Fontana,-25.3333,-59.6833,32
