"id","country","code_2","code_3","geojson"
533,"Aruba","AW","ABW","{""type"":""Polygon"",""coordinates"":[[[-69.886779785156,12.481498385392],[-70.052947998047,12.620907474413],[-70.047454833984,12.576009912064],[-70.06462097168,12.536466751781],[-69.956130981445,12.456021278],[-69.870986938477,12.41444799544],[-69.886779785156,12.481498385392]]]}"
4,"Afghanistan","AF","AFG","{""type"":""Polygon"",""coordinates"":[[[71.341134113411,38.247089061643],[71.269126912691,37.926133423597],[71.593159315932,37.89822423768],[71.413141314131,37.060948660167],[71.665166516652,36.684174650287],[72.673267326733,37.03303947425],[72.781278127813,37.214449182711],[73.285328532853,37.465631855965],[73.753375337534,37.423768077089],[73.609360936094,37.256312961587],[73.717371737174,37.214449182711],[74.329432943294,37.423768077089],[74.905490549055,37.22840377567],[74.473447344734,37.22840377567],[74.365436543654,37.144676217919],[74.545454545455,36.963266509458],[74.041404140414,36.809765986914],[73.177317731773,36.879538951706],[72.205220522052,36.726038429162],[71.773177317732,36.391128198157],[71.593159315932,36.46090116295],[71.233123312331,36.125990931945],[71.161116111611,36.028308781235],[71.593159315932,35.553852620645],[71.521152115212,35.302669947391],[71.629162916292,35.177078610764],[70.945094509451,34.535167334671],[71.125112511251,34.35375762621],[71.053105310531,34.046756581123],[70.513051305131,33.935119837454],[69.86498649865,34.018847395205],[70.29702970297,33.321117747278],[69.50495049505,33.028071295149],[69.432943294329,32.651297285268],[69.216921692169,32.455932983849],[69.288928892889,31.953567637341],[69.072907290729,31.702384964088],[68.820882088209,31.604702813378],[68.676867686769,31.77215792888],[68.136813681368,31.827976300714],[67.956795679568,31.632611999295],[67.560756075608,31.534929848585],[67.776777677768,31.339565547166],[67.344734473447,31.213974210539],[66.840684068407,31.283747175331],[66.372637263726,30.920927758409],[66.264626462646,29.888287879477],[65.040504050405,29.539423055514],[64.464446444644,29.567332241431],[64.068406840684,29.38592253297],[63.564356435644,29.497559276638],[62.484248424842,29.413831718887],[60.828082808281,29.86037869356],[61.800180018002,30.851154793617],[61.836183618362,31.018609909119],[61.692169216922,31.367474733083],[60.828082808281,31.493066069709],[60.828082808281,32.246614089471],[60.576057605761,33.055980481066],[60.936093609361,33.516482048698],[60.504050405041,33.642073385325],[60.504050405041,34.144438731832],[60.648064806481,34.311893847335],[60.900090009001,34.325848440293],[60.684068406841,34.521212741713],[61.080108010801,34.814259193842],[61.260126012601,35.623625585438],[61.620162016202,35.428261284018],[62.016201620162,35.442215876977],[62.268226822682,35.135214831889],[62.448244824482,35.274760761474],[62.700270027003,35.246851575557],[63.096309630963,35.442215876977],[63.060306030603,35.623625585438],[63.204320432043,35.69339855023],[63.096309630963,35.860853665733],[64.032403240324,36.000399595318],[64.068406840684,36.112036338987],[64.464446444644,36.265536861531],[64.788478847885,37.116767032002],[65.544554455446,37.256312961587],[65.760576057606,37.577268599633],[66.300630063006,37.32608592638],[67.020702070207,37.381904298214],[67.272727272727,37.186539996794],[67.740774077408,37.22840377567],[68.028802880288,36.921402730582],[68.892889288929,37.340040519338],[69.324932493249,37.116767032002],[69.50495049505,37.577268599633],[70.15301530153,37.535404820758],[70.29702970297,37.70285993626],[70.18901890189,37.940088016555],[70.657065706571,38.400589584187],[71.053105310531,38.414544177146],[71.341134113411,38.247089061643]]]}"
24,"Angola","AO","AGO","{""type"":""MultiPolygon"",""coordinates"":[[[[16.939693969397,-7.2030202043248],[17.587758775878,-8.0961141536715],[18.091809180918,-8.11006874663],[18.523852385239,-7.928659038169],[19.351935193519,-7.9984320029617],[19.53195319532,-7.0076559029053],[20.612061206121,-6.9099737521955],[20.504050405041,-7.2867477620761],[21.800180018002,-7.3007023550346],[21.764176417642,-7.9984320029617],[21.944194419442,-8.4589335705935],[21.800180018002,-9.4078458917743],[22.304230423042,-10.370712805914],[22.304230423042,-10.761441408753],[22.160216021602,-10.859123559463],[22.232223222322,-11.249852162302],[22.484248424842,-11.040533267924],[23.816381638164,-11.026578674965],[23.960396039604,-10.873078152421],[23.996399639964,-10.984714896089],[24.032403240324,-12.380174191944],[23.852385238524,-12.784857387741],[23.996399639964,-13.008130875078],[21.980198019802,-13.008130875078],[21.980198019802,-16.161868883708],[22.160216021602,-16.594461265423],[23.384338433843,-17.641055737314],[20.792079207921,-18.031784340153],[20.32403240324,-17.850374631692],[18.883888388839,-17.794556259857],[18.451845184518,-17.38987306406],[13.987398739874,-17.417782249977],[13.483348334833,-17.013099054179],[13.159315931593,-16.957280682345],[12.583258325833,-17.236372541516],[12.079207920792,-17.138690390806],[11.755175517552,-17.250327134474],[11.719171917192,-15.85486783862],[12.007200720072,-15.617639758325],[12.151215121512,-15.171092783652],[12.511251125113,-13.426768663834],[12.943294329433,-12.980221689161],[12.943294329433,-12.812766573658],[13.375337533753,-12.575538493363],[13.627362736274,-12.254582855317],[13.843384338434,-11.110306232716],[13.771377137714,-10.677713851002],[13.519351935194,-10.412576584789],[12.979297929793,-9.0868902537279],[13.087308730873,-8.8915259523083],[13.015301530153,-9.0868902537279],[13.231323132313,-8.77988920864],[13.375337533753,-8.7519800227229],[13.375337533753,-8.3472968269252],[12.835283528353,-7.2727931691175],[12.835283528353,-6.9099737521955],[12.259225922592,-6.1145619535586],[13.195319531953,-5.8633792803049],[13.987398739874,-5.8494246873464],[16.579657965797,-5.9191976521391],[16.939693969397,-7.2030202043248]]],[[[12.439243924392,-5.0540128887095],[12.511251125113,-5.7238333507195],[12.223222322232,-5.7656971295951],[12.223222322232,-5.4726506774657],[12.007200720072,-5.040058295751],[12.151215121512,-5.0121491098339],[12.007200720072,-5.0261037027924],[12.403240324032,-4.6074659140362],[12.799279927993,-4.4121016126166],[13.051305130513,-4.6632842858704],[12.439243924392,-5.0540128887095]]]]}"
660,"Anguilla","AI","AIA","{""type"":""Polygon"",""coordinates"":[[[-62.967796325684,18.271412123032],[-63.057746887207,18.24500305225],[-63.088302612305,18.207827932526],[-63.138427734375,18.185323346092],[-63.171043395996,18.160206103718],[-63.109245300293,18.174559256237],[-63.085899353027,18.170644877117],[-62.988739013672,18.225438189831],[-62.967796325684,18.271412123032]]]}"
8,"Albania","AL","ALB","{""type"":""Polygon"",""coordinates"":[[[19.78397839784,42.461376135123],[20.07200720072,42.545103692874],[20.504050405041,42.210193461869],[20.612061206121,41.945056195657],[20.43204320432,41.554327592818],[20.504050405041,41.233371954771],[20.720072007201,40.912416316725],[20.972097209721,40.898461723766],[21.044104410441,40.661233643471],[20.756075607561,40.424005563176],[20.648064806481,40.089095332171],[20.28802880288,39.991413181461],[20.39603960396,39.823958065959],[20.1800180018,39.642548357497],[20,39.684412136373],[19.85598559856,40.047231553295],[19.279927992799,40.424005563176],[19.459945994599,40.354232598383],[19.459945994599,40.549596899803],[19.315931593159,40.647279050512],[19.387938793879,40.912416316725],[19.53195319532,40.926370909683],[19.423942394239,41.582236778735],[19.60396039604,41.610145964652],[19.60396039604,41.81946485903],[19.351935193519,41.847374044947],[19.279927992799,42.182284275952],[19.6399639964,42.628831250625],[19.74797479748,42.573012878791],[19.78397839784,42.461376135123]]]}"
20,"Andorra","AD","AND","{""type"":""Polygon"",""coordinates"":[[[1.7101710171017,42.503239913998],[1.4941494149415,42.433466949206],[1.4221422142214,42.531149099915],[1.5301530153015,42.642785843584],[1.7101710171017,42.614876657667],[1.7101710171017,42.503239913998]]]}"
784,"United Arab Emirates","AE","ARE","{""type"":""MultiPolygon"",""coordinates"":[[[[53.879387938794,24.236677731268],[53.915391539154,24.138995580558],[53.627362736274,24.166904766475],[53.879387938794,24.236677731268]]],[[[53.411341134113,24.334359881978],[53.195319531953,24.278541510144],[53.411341134113,24.418087439729],[53.411341134113,24.334359881978]]],[[[56.399639963996,24.976271158071],[56.111611161116,24.725088484817],[55.967596759676,24.976271158071],[55.787578757876,24.89254360032],[55.751575157516,24.236677731268],[55.931593159316,24.22272313831],[56.003600360036,24.083177208724],[55.463546354635,23.957585872097],[55.535553555356,23.776176163636],[55.103510351035,22.617944948077],[52.547254725473,22.938900586124],[51.575157515752,24.097131801683],[51.611161116112,24.390178253812],[51.935193519352,23.971540465056],[52.331233123312,24.013404243931],[52.583258325833,24.208768545351],[53.591359135914,24.041313429849],[54.131413141314,24.138995580558],[54.419441944194,24.292496103102],[54.563456345635,24.445996625646],[54.419441944194,24.529724183398],[54.599459945995,24.50181499748],[54.635463546355,24.752997670734],[55.319531953195,25.199544645407],[55.535553555356,25.576318655288],[55.967596759676,25.771682956708],[56.075607560756,26.064729408837],[56.183618361836,25.967047258127],[56.147614761476,25.674000805998],[56.363636363636,25.520500283454],[56.399639963996,24.976271158071]]],[[[56.255625562556,25.325135982034],[56.327632763276,25.2693176102],[56.219621962196,25.213499238366],[56.255625562556,25.325135982034]]]]}"
32,"Argentina","AR","ARG","{""type"":""MultiPolygon"",""coordinates"":[[[[-68.640864086409,-54.88586434366],[-68.640864086409,-54.802136785908],[-68.568856885689,-54.871909750701],[-68.640864086409,-54.88586434366]]],[[[-64.356435643564,-54.718409228157],[-63.816381638164,-54.732363821116],[-64.680468046805,-54.899818936618],[-64.680468046805,-54.774227599991],[-64.356435643564,-54.718409228157]]],[[[-68.640864086409,-52.639174877335],[-68.280828082808,-52.974085108339],[-68.244824482448,-53.113631037925],[-68.352835283528,-53.015948887215],[-68.532853285329,-53.239222374552],[-68.100810081008,-53.336904525262],[-67.992799279928,-53.602041791474],[-67.560756075608,-53.909042836562],[-66.480648064806,-54.467226554903],[-65.832583258326,-54.648636263364],[-65.148514851485,-54.648636263364],[-65.364536453645,-54.927728122535],[-65.976597659766,-54.899818936618],[-66.444644464446,-55.053319459162],[-67.020702070207,-54.899818936618],[-68.568856885689,-54.844000564784],[-68.640864086409,-52.639174877335]]],[[[-62.052205220522,-40.484724410445],[-62.232223222322,-40.512633596362],[-62.160216021602,-40.373087666777],[-62.052205220522,-40.484724410445]]],[[[-65.760576057606,-22.120480077005],[-64.608460846085,-22.204207634756],[-64.320432043204,-22.874028096766],[-63.960396039604,-22.008843333337],[-62.808280828083,-22.008843333337],[-62.628262826283,-22.301889785466],[-62.232223222322,-22.539117865761],[-61.944194419442,-23.02752861931],[-61.116111611161,-23.613621523569],[-61.008100810081,-23.808985824989],[-60.03600360036,-24.004350126408],[-58.811881188119,-24.771852739128],[-57.875787578758,-25.078853784216],[-57.587758775878,-25.567264537765],[-57.767776777678,-25.70681046735],[-57.875787578758,-26.013811512438],[-58.163816381638,-26.181266627941],[-58.163816381638,-26.655722788531],[-58.667866786679,-27.158088135039],[-58.595859585959,-27.311588657582],[-58.019801980198,-27.255770285748],[-57.191719171917,-27.492998366044],[-56.543654365437,-27.451134587168],[-56.399639963996,-27.590680516753],[-56.111611161116,-27.297634064624],[-55.751575157516,-27.437179994209],[-55.427542754275,-26.976678426578],[-55.139513951395,-26.94876924066],[-54.779477947795,-26.641768195573],[-54.599459945995,-25.581219130723],[-54.455445544554,-25.692855874392],[-54.131413141314,-25.497491572972],[-53.915391539154,-25.637037502558],[-53.663366336634,-26.223130406816],[-53.699369936994,-26.906905461785],[-53.843384338434,-27.158088135039],[-54.167416741674,-27.24181569279],[-54.275427542754,-27.423225401251],[-54.815481548155,-27.520907551961],[-54.923492349235,-27.730226446339],[-55.067506750675,-27.772090225214],[-55.031503150315,-27.855817782966],[-55.787578757876,-28.232591792846],[-55.679567956796,-28.400046908349],[-55.895589558956,-28.372137722432],[-56.435643564356,-29.069867370359],[-57.083708370837,-29.753642425327],[-57.299729972997,-29.809460797161],[-57.875787578758,-30.549054223964],[-57.803780378038,-30.87000986201],[-58.091809180918,-31.470057359228],[-57.983798379838,-31.595648695855],[-58.055805580558,-31.791012997274],[-58.199819981998,-31.888695147984],[-58.091809180918,-32.279423750823],[-58.235823582358,-32.488742645201],[-58.163816381638,-33.046926363543],[-58.415841584158,-33.102744735377],[-58.559855985599,-33.702792232594],[-58.379837983798,-34.191202986143],[-58.559855985599,-34.288885136853],[-58.307830783078,-34.651704553775],[-57.515751575158,-35.014523970697],[-57.191719171917,-35.307570422827],[-57.119711971197,-35.447116352412],[-57.335733573357,-35.726208211583],[-57.371737173717,-35.977390884836],[-56.939693969397,-36.382074080634],[-56.723672367237,-36.312301115841],[-56.687668766877,-36.926303206017],[-57.479747974797,-37.833351748322],[-57.551755175518,-38.126398200452],[-58.343834383438,-38.489217617374],[-61.152115211521,-39.00553755684],[-61.836183618362,-38.977628370923],[-62.376237623762,-38.796218662462],[-62.268226822682,-38.949719185006],[-62.340234023402,-39.256720230094],[-62.016201620162,-39.382311566721],[-62.268226822682,-39.312538601928],[-62.052205220522,-39.47999371743],[-62.124212421242,-39.842813134352],[-62.304230423042,-39.814903948435],[-62.376237623762,-40.191677958316],[-62.484248424842,-40.303314701984],[-62.268226822682,-40.554497375238],[-62.340234023402,-40.666134118906],[-62.196219621962,-40.624270340031],[-62.340234023402,-40.875453013284],[-63.060306030603,-41.140590279497],[-63.636363636364,-41.154544872455],[-64.896489648965,-40.81963464145],[-64.752475247525,-40.791725455533],[-64.788478847885,-40.72195249074],[-65.148514851485,-40.847543827367],[-65.004500450045,-42.089502600677],[-64.464446444644,-42.25695771618],[-64.608460846085,-42.424412831682],[-64.428442844284,-42.4523220176],[-64.104410441044,-42.424412831682],[-64.068406840684,-42.270912309139],[-64.356435643564,-42.243003123221],[-63.780378037804,-42.075548007719],[-63.600360036004,-42.298821495056],[-63.636363636364,-42.745368469729],[-64.104410441044,-42.884914399314],[-64.248424842484,-42.773277655646],[-64.212421242124,-42.633731726061],[-64.428442844284,-42.508140389434],[-64.932493249325,-42.647686319019],[-65.004500450045,-42.787232248605],[-64.284428442844,-42.982596550024],[-64.932493249325,-43.233779223278],[-65.328532853285,-43.666371604993],[-65.184518451845,-44.029191021915],[-65.292529252925,-44.196646137417],[-65.220522052205,-44.36410125292],[-65.724572457246,-44.810648227593],[-65.508550855086,-44.93623956422],[-65.688568856886,-45.061830900847],[-66.192619261926,-44.992057936054],[-66.588658865887,-45.145558458598],[-66.516651665167,-45.215331423391],[-66.912691269127,-45.257195202266],[-67.560756075608,-45.996788629069],[-67.632763276328,-46.164243744571],[-67.416741674167,-46.568926940369],[-66.768676867687,-47.001519322084],[-65.976597659766,-47.071292286877],[-65.760576057606,-47.210838216462],[-65.832583258326,-47.741112748887],[-66.372637263726,-47.866704085513],[-65.904590459046,-47.769021934804],[-65.760576057606,-47.950431643265],[-65.940594059406,-47.936477050306],[-65.904590459046,-48.117886758767],[-67.128712871287,-48.676070477109],[-67.560756075608,-49.010980708114],[-67.848784878488,-49.373800125036],[-67.596759675968,-49.317981753202],[-67.884788478848,-50.00175680817],[-68.352835283528,-50.113393551839],[-68.748874887489,-49.722664948999],[-68.568856885689,-49.931983843378],[-69.000900090009,-50.00175680817],[-68.568856885689,-49.973847622253],[-68.352835283528,-50.155257330714],[-68.892889288929,-50.336667039175],[-69.072907290729,-50.559940526512],[-69.144914491449,-50.908805350475],[-69.396939693969,-51.090215058936],[-69.180918091809,-50.978578315268],[-68.964896489649,-51.564671219527],[-69.61296129613,-51.620489591361],[-68.964896489649,-51.620489591361],[-68.352835283528,-52.332173832247],[-69.93699369937,-52.0112181942],[-71.917191719172,-51.983309008283],[-72.457245724572,-51.550716626568],[-72.241224122412,-51.24371558148],[-72.421242124212,-51.104169651895],[-72.277227722772,-50.96462372231],[-72.313231323132,-50.643668084263],[-72.745274527453,-50.615758898346],[-73.177317731773,-50.755304827931],[-73.285328532853,-50.2948032603],[-73.537353735374,-50.113393551839],[-73.465346534653,-49.764528727875],[-73.573357335734,-49.541255240538],[-73.465346534653,-49.317981753202],[-73.141314131413,-49.304027160243],[-72.997299729973,-48.997026115155],[-72.601260126013,-48.787707220777],[-72.601260126013,-48.508615361606],[-72.277227722772,-48.327205653145],[-72.349234923492,-48.076022979892],[-72.529252925293,-47.908567864389],[-72.349234923492,-47.448066296757],[-72.169216921692,-47.406202517882],[-72.025202520252,-47.196883623503],[-71.881188118812,-47.224792809421],[-71.989198919892,-47.057337693918],[-71.953195319532,-46.820109613623],[-71.701170117012,-46.694518276996],[-71.773177317732,-46.247971302323],[-71.917191719172,-46.150289151613],[-71.629162916292,-45.968879443152],[-71.773177317732,-45.843288106525],[-71.773177317732,-45.578150840313],[-71.485148514851,-45.494423282561],[-71.305130513051,-45.271149795225],[-71.593159315932,-44.978103343095],[-72.061206120612,-44.908330378303],[-72.097209720972,-44.782739041676],[-71.305130513051,-44.796693634634],[-71.125112511251,-44.545510961381],[-71.197119711971,-44.433874217712],[-71.845184518452,-44.378055845878],[-71.845184518452,-44.112918579666],[-71.665166516652,-43.931508871205],[-71.809180918092,-43.764053755702],[-71.701170117012,-43.5965986402],[-71.953195319532,-43.443098117656],[-71.737173717372,-43.191915444402],[-72.133213321332,-43.038414921858],[-72.133213321332,-42.591867947185],[-72.025202520252,-42.145320972512],[-71.737173717372,-42.089502600677],[-71.917191719172,-41.656910218963],[-71.845184518452,-40.945225978077],[-71.953195319532,-40.72195249074],[-71.665166516652,-40.317269294943],[-71.809180918092,-40.205632551274],[-71.629162916292,-39.912586099145],[-71.701170117012,-39.605585054057],[-71.521152115212,-39.605585054057],[-71.413141314131,-38.90785540613],[-70.945094509451,-38.740400290628],[-70.837083708371,-38.586899768084],[-71.197119711971,-37.707760411696],[-71.197119711971,-37.289122622939],[-71.089108910891,-37.107712914478],[-71.197119711971,-36.842575648266],[-71.053105310531,-36.479756231344],[-70.729072907291,-36.409983266551],[-70.693069306931,-36.270437336966],[-70.36903690369,-36.061118442588],[-70.44104410441,-35.363388794661],[-70.585058505851,-35.265706643951],[-70.36903690369,-35.168024493241],[-70.33303330333,-34.749386704485],[-70.04500450045,-34.288885136853],[-69.82898289829,-34.233066765019],[-69.90099009901,-33.772565197387],[-69.79297929793,-33.381836594548],[-70.11701170117,-33.17251770017],[-70.00900090009,-32.87947124804],[-70.15301530153,-32.739925318455],[-70.40504050405,-32.056150263486],[-70.26102610261,-31.944513519818],[-70.47704770477,-31.83287677615],[-70.585058505851,-31.567739509938],[-70.585058505851,-31.302602243725],[-70.47704770477,-31.093283349347],[-70.26102610261,-31.037464977513],[-70.33303330333,-30.939782826803],[-70.18901890189,-30.367644515503],[-69.97299729973,-30.381599108462],[-69.82898289829,-30.158325621125],[-69.97299729973,-30.074598063374],[-69.90099009901,-29.809460797161],[-70.04500450045,-29.293140857695],[-69.79297929793,-29.097776556276],[-69.64896489649,-28.400046908349],[-69.180918091809,-27.953499933675],[-68.820882088209,-27.116224356163],[-68.316831683168,-27.04645139137],[-68.316831683168,-26.892950868826],[-68.604860486049,-26.460358487111],[-68.424842484248,-26.139402849065],[-68.604860486049,-25.469582387055],[-68.532853285329,-25.190490527884],[-68.352835283528,-25.120717563092],[-68.568856885689,-24.813716518004],[-68.496849684968,-24.618352216584],[-68.244824482448,-24.381124136289],[-67.344734473447,-24.032259312325],[-67.020702070207,-23.02752861931],[-67.200720072007,-22.818209724932],[-67.020702070207,-22.525163272803],[-66.768676867687,-22.427481122093],[-66.696669666967,-22.204207634756],[-66.300630063006,-22.07861629813],[-66.228622862286,-21.785569846],[-65.940594059406,-21.939070368544],[-65.760576057606,-22.120480077005]]]]}"
51,"Armenia","AM","ARM","{""type"":""Polygon"",""coordinates"":[[[46.138613861386,38.861091151819],[45.994599459946,39.251819754658],[45.742574257426,39.363456498327],[45.778577857786,39.558820799746],[45.418541854185,39.489047834954],[45.130513051305,39.572775392705],[45.022502250225,39.768139694124],[44.770477047705,39.698366729332],[44.338433843384,40.033276960337],[43.654365436544,40.117004518088],[43.546354635464,40.47982393501],[43.726372637264,40.758915794181],[43.438343834383,41.107780618144],[44.986498649865,41.289190326605],[45.202520252025,41.135689804061],[45.058505850585,41.065916839269],[45.418541854185,41.024053060393],[45.598559855986,40.856597944891],[45.382538253825,40.67518823643],[45.526552655266,40.437960156134],[45.994599459946,40.228641261756],[45.886588658866,40.00536777442],[45.562556255626,39.963503995544],[46.174617461746,39.586729985663],[46.534653465347,39.558820799746],[46.354635463546,39.405320277202],[46.606660666067,39.209955975783],[46.390639063906,39.196001382824],[46.498649864987,38.889000337736],[46.138613861386,38.861091151819]],[[45.562556255626,40.619369864595],[45.562556255626,40.619369864595],[45.562556255626,40.619369864595],[45.562556255626,40.619369864595]],[[45.202520252025,40.968234688559],[45.202520252025,40.968234688559],[45.202520252025,40.968234688559],[45.202520252025,40.968234688559]],[[44.986498649865,41.038007653352],[44.986498649865,41.038007653352],[44.986498649865,41.038007653352],[44.986498649865,41.038007653352]]]}"
16,"American Samoa","AS","ASM","{""type"":""MultiPolygon"",""coordinates"":[[[[-170.59101315,-14.264825128],[-170.620065884,-14.254571222],[-170.66144772,-14.252373956],[-170.698475715,-14.260511977],[-170.721506314,-14.289239191],[-170.788644986,-14.294528904],[-170.831247525,-14.319431248],[-170.755482551,-14.36712005],[-170.748646614,-14.374688409],[-170.721791145,-14.353448175],[-170.683583137,-14.302829685],[-170.659291145,-14.28525156],[-170.642323371,-14.280694269],[-170.584177213,-14.277764581],[-170.568470832,-14.270928644],[-170.576242642,-14.252536717],[-170.59101315,-14.264825128]]],[[[-169.463856575,-14.223239842],[-169.506459114,-14.222263279],[-169.527536588,-14.226006769],[-169.542673306,-14.236748956],[-169.529286262,-14.248793227],[-169.522816536,-14.270928644],[-169.504261848,-14.270603123],[-169.494862434,-14.257256769],[-169.447132942,-14.255629165],[-169.444040494,-14.230645441],[-169.463856575,-14.223239842]]],[[[-169.676218228,-14.174899998],[-169.660145637,-14.189141534],[-169.635609504,-14.177015883],[-169.658192512,-14.168877863],[-169.676218228,-14.174899998]]]]}"
