id,name,localization_es_name
30,Eastern Asia,Asia oriental
34,Southern Asia,Asia meridional
39,Southern Europe,Europa meridional
15,Northern Africa,África septentrional
61,Polynesia,Polinesia
202,Sub-Saharan Africa,África subsahariana
419,Latin America and the Caribbean,América Latina y el Caribe
10,Antarctica,Antártida
145,Western Asia,Asia occidental
53,Australia and New Zealand,Australia y Nueva Zelandia
155,Western Europe,Europa occidental
151,Eastern Europe,Europa oriental
21,Northern America,América septentrional
35,South-eastern Asia,Asia sudoriental
154,Northern Europe,Europa septentrional
54,Melanesia,Melanesia
57,Micronesia,Micronesia
143,Central Asia,Asia central
